[SIMINFO]: Generating pseudo random numbers ...
[SIMINFO]: Generating topology scenario ...
[SIMINFO]: Generating node scenario ...
[SIMINFO]: Creating topology scenario reader ...
[SIMINFO]: Creating node scenario reader ...
[SIMINFO]: Creating 5 Node Objects
[SIMINFO]: 0: 10 -INITIALIZE-;
[SIMINFO]: 0: 0-4 -UP-;
[SIMINFO]: Node id range = 0-4
[SIMINFO]: 1000: 10 -STOP_SIMULATION-;
[SIMINFO]: Initialization: 0: Position: {20, 234}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 1.0s
[SIMINFO]: 476: 2: Position: {144, 261}, Status: MOBILE, Mobility: 8.0s, 286.31 degrees, 4m/s Pause: 0.0s
[SIMINFO]: 476: 3: Position: {358, 0}, Status: MOBILE, Mobility: 0.0s, 340.36 degrees, 3m/s Pause: 0.0s
[SIMINFO]: 477: 0: Position: {121, 487}, Status: MOBILE, Mobility: 0.0s, 265.27 degrees, 5m/s Pause: 0.0s
[SIMINFO]: 477: 1: Position: {273, 536}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 2.0s
[SIMINFO]: 477: 2: Position: {140, 259}, Status: MOBILE, Mobility: 7.0s, 286.31 degrees, 4m/s Pause: 0.0s
[SIMINFO]: 477: 3: Position: {358, 0}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 8.0s
[SIMINFO]: 478: 0: Position: {121, 487}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 4.0s
[SIMINFO]: 478: 1: Position: {273, 536}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 1.0s
[SIMINFO]: 478: 2: Position: {136, 257}, Status: MOBILE, Mobility: 6.0s, 286.31 degrees, 4m/s Pause: 0.0s
[SIMINFO]: 478: 3: Position: {358, 0}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 7.0s
[SIMINFO]: 479: 0: Position: {121, 487}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 3.0s
[SIMINFO]: 479: 1: Position: {273, 536}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 0.0s
[SIMINFO]: 479: 2: Position: {132, 255}, Status: MOBILE, Mobility: 5.0s, 286.31 degrees, 4m/s Pause: 0.0s
[SIMINFO]: 479: 3: Position: {358, 0}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 6.0s
[SIMINFO]: 480: 0: Position: {121, 487}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 2.0s
[SIMINFO]: 480: 1: Position: {273, 536}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 9.0s
[SIMINFO]: 480: 2: Position: {128, 253}, Status: MOBILE, Mobility: 4.0s, 286.31 degrees, 4m/s Pause: 0.0s
[SIMINFO]: 480: 3: Position: {358, 0}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 5.0s
[SIMINFO]: 481: 0: Position: {121, 487}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 1.0s
[SIMINFO]: 481: 1: Position: {273, 536}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 8.0s
[SIMINFO]: 481: 2: Position: {124, 251}, Status: MOBILE, Mobility: 3.0s, 286.31 degrees, 4m/s Pause: 0.0s
[SIMINFO]: 481: 3: Position: {358, 0}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 4.0s
[SIMINFO]: 482: 0: Position: {121, 487}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 0.0s
[SIMINFO]: 482: 1: Position: {273, 536}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 7.0s
[SIMINFO]: 482: 2: Position: {120, 249}, Status: MOBILE, Mobility: 2.0s, 286.31 degrees, 4m/s Pause: 0.0s
[SIMINFO]: 482: 3: Position: {358, 0}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 3.0s
[SIMINFO]: 483: 0: Position: {121, 487}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 8.0s
[SIMINFO]: 483: 1: Position: {273, 536}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 6.0s
[SIMINFO]: 483: 2: Position: {116, 247}, Status: MOBILE, Mobility: 1.0s, 286.31 degrees, 4m/s Pause: 0.0s
[SIMINFO]: 483: 3: Position: {358, 0}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 2.0s
[SIMINFO]: 484: 0: Position: {121, 487}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 7.0s
[SIMINFO]: 484: 1: Position: {273, 536}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 5.0s
[SIMINFO]: 484: 2: Position: {112, 245}, Status: MOBILE, Mobility: 0.0s, 286.31 degrees, 4m/s Pause: 0.0s
[SIMINFO]: 484: 3: Position: {358, 0}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 1.0s
[SIMINFO]: 485: 0: Position: {121, 487}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 6.0s
[SIMINFO]: 485: 1: Position: {273, 536}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 4.0s
[SIMINFO]: 485: 2: Position: {112, 245}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 10.0s
[SIMINFO]: 485: 3: Position: {358, 0}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 0.0s
[SIMINFO]: 486: 0: Position: {121, 487}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 5.0s
[SIMINFO]: 486: 1: Position: {273, 536}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 3.0s
[SIMINFO]: 486: 2: Position: {112, 245}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 9.0s
[SIMINFO]: 486: 3: Position: {358, 0}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 1.0s
[SIMINFO]: 487: 0: Position: {121, 487}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 4.0s
[SIMINFO]: 487: 1: Position: {273, 536}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 2.0s
[SIMINFO]: 487: 2: Position: {112, 245}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 8.0s
[SIMINFO]: 487: 3: Position: {358, 0}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 0.0s
[SIMINFO]: 488: 0: Position: {121, 487}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 3.0s
[SIMINFO]: 488: 1: Position: {273, 536}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 1.0s
[SIMINFO]: 488: 2: Position: {112, 245}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 7.0s
[SIMINFO]: 488: 3: Position: {358, 0}, Status: MOBILE, Mobility: 10.0s, 346.89 degrees, 2m/s Pause: 0.0s
[SIMINFO]: 489: 0: Position: {121, 487}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 2.0s
[SIMINFO]: 489: 1: Position: {273, 536}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 0.0s
[SIMINFO]: 489: 2: Position: {112, 245}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 6.0s
[SIMINFO]: 489: 3: Position: {359, 2}, Status: MOBILE, Mobility: 9.0s, 346.89 degrees, 2m/s Pause: 0.0s
[SIMINFO]: 490: 0: Position: {121, 487}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 1.0s
[SIMINFO]: 490: 1: Position: {273, 536}, Status: MOBILE, Mobility: 8.0s, 2.73 degrees, 2m/s Pause: 0.0s
[SIMINFO]: 490: 2: Position: {112, 245}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 5.0s
[SIMINFO]: 490: 3: Position: {360, 4}, Status: MOBILE, Mobility: 8.0s, 346.89 degrees, 2m/s Pause: 0.0s
[SIMINFO]: 491: 0: Position: {121, 487}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 0.0s
[SIMINFO]: 491: 1: Position: {271, 537}, Status: MOBILE, Mobility: 7.0s, 2.73 degrees, 2m/s Pause: 0.0s
[SIMINFO]: 491: 2: Position: {112, 245}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 4.0s
[SIMINFO]: 491: 3: Position: {361, 6}, Status: MOBILE, Mobility: 7.0s, 346.89 degrees, 2m/s Pause: 0.0s
[SIMINFO]: 492: 0: Position: {121, 487}, Status: MOBILE, Mobility: 1.0s, 2.62 degrees, 4m/s Pause: 0.0s
[SIMINFO]: 492: 1: Position: {269, 538}, Status: MOBILE, Mobility: 6.0s, 2.73 degrees, 2m/s Pause: 0.0s
[SIMINFO]: 492: 2: Position: {112, 245}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 3.0s
[SIMINFO]: 492: 3: Position: {362, 8}, Status: MOBILE, Mobility: 6.0s, 346.89 degrees, 2m/s Pause: 0.0s
[SIMINFO]: 493: 0: Position: {118, 489}, Status: MOBILE, Mobility: 0.0s, 2.62 degrees, 4m/s Pause: 0.0s
[SIMINFO]: 493: 1: Position: {267, 539}, Status: MOBILE, Mobility: 5.0s, 2.73 degrees, 2m/s Pause: 0.0s
[SIMINFO]: 493: 2: Position: {112, 245}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 2.0s
[SIMINFO]: 493: 3: Position: {363, 10}, Status: MOBILE, Mobility: 5.0s, 346.89 degrees, 2m/s Pause: 0.0s
[SIMINFO]: 494: 0: Position: {118, 489}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 5.0s
[SIMINFO]: 494: 1: Position: {265, 540}, Status: MOBILE, Mobility: 4.0s, 2.73 degrees, 2m/s Pause: 0.0s
[SIMINFO]: 494: 2: Position: {112, 245}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 1.0s
[SIMINFO]: 494: 3: Position: {364, 12}, Status: MOBILE, Mobility: 4.0s, 346.89 degrees, 2m/s Pause: 0.0s
[SIMINFO]: 495: 0: Position: {118, 489}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 4.0s
[SIMINFO]: 495: 1: Position: {263, 541}, Status: MOBILE, Mobility: 3.0s, 2.73 degrees, 2m/s Pause: 0.0s
[SIMINFO]: 495: 2: Position: {112, 245}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 0.0s
[SIMINFO]: 495: 3: Position: {365, 14}, Status: MOBILE, Mobility: 3.0s, 346.89 degrees, 2m/s Pause: 0.0s
[SIMINFO]: 496: 0: Position: {118, 489}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 3.0s
[SIMINFO]: 496: 1: Position: {261, 542}, Status: MOBILE, Mobility: 2.0s, 2.73 degrees, 2m/s Pause: 0.0s
[SIMINFO]: 496: 2: Position: {112, 245}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 3.0s
[SIMINFO]: 496: 3: Position: {366, 16}, Status: MOBILE, Mobility: 2.0s, 346.89 degrees, 2m/s Pause: 0.0s
[SIMINFO]: 497: 0: Position: {118, 489}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 2.0s
[SIMINFO]: 497: 1: Position: {259, 543}, Status: MOBILE, Mobility: 1.0s, 2.73 degrees, 2m/s Pause: 0.0s
[SIMINFO]: 497: 2: Position: {112, 245}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 2.0s
[SIMINFO]: 497: 3: Position: {367, 18}, Status: MOBILE, Mobility: 1.0s, 346.89 degrees, 2m/s Pause: 0.0s
[SIMINFO]: 498: 0: Position: {118, 489}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 1.0s
[SIMINFO]: 498: 1: Position: {257, 544}, Status: MOBILE, Mobility: 0.0s, 2.73 degrees, 2m/s Pause: 0.0s
[SIMINFO]: 498: 2: Position: {112, 245}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 1.0s
[SIMINFO]: 498: 3: Position: {368, 20}, Status: MOBILE, Mobility: 0.0s, 346.89 degrees, 2m/s Pause: 0.0s
[SIMINFO]: 499: 0: Position: {118, 489}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 0.0s
[SIMINFO]: 499: 1: Position: {257, 544}, Status: MOBILE, Mobility: 5.0s, 252.35 degrees, 1m/s Pause: 0.0s
[SIMINFO]: 499: 2: Position: {112, 245}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 0.0s
[SIMINFO]: 499: 3: Position: {368, 20}, Status: MOBILE, Mobility: 9.0s, 138.07 degrees, 5m/s Pause: 0.0s
[SIMINFO]: 500: 0: Position: {118, 489}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 10.0s
[SIMINFO]: 500: 1: Position: {258, 545}, Status: MOBILE, Mobility: 4.0s, 252.35 degrees, 1m/s Pause: 0.0s
[SIMINFO]: 500: 2: Position: {112, 245}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 6.0s
[SIMINFO]: 500: 3: Position: {373, 19}, Status: MOBILE, Mobility: 8.0s, 138.07 degrees, 5m/s Pause: 0.0s
[SIMINFO]: 501: 0: Position: {118, 489}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 9.0s
[SIMINFO]: 501: 1: Position: {259, 546}, Status: MOBILE, Mobility: 3.0s, 252.35 degrees, 1m/s Pause: 0.0s
[SIMINFO]: 501: 2: Position: {112, 245}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 5.0s
[SIMINFO]: 501: 3: Position: {378, 18}, Status: MOBILE, Mobility: 7.0s, 138.07 degrees, 5m/s Pause: 0.0s
[SIMINFO]: 502: 0: Position: {118, 489}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 8.0s
[SIMINFO]: 502: 1: Position: {260, 547}, Status: MOBILE, Mobility: 2.0s, 252.35 degrees, 1m/s Pause: 0.0s
[SIMINFO]: 502: 2: Position: {112, 245}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 4.0s
[SIMINFO]: 502: 3: Position: {383, 17}, Status: MOBILE, Mobility: 6.0s, 138.07 degrees, 5m/s Pause: 0.0s
[SIMINFO]: 503: 0: Position: {118, 489}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 7.0s
[SIMINFO]: 503: 1: Position: {261, 548}, Status: MOBILE, Mobility: 1.0s, 252.35 degrees, 1m/s Pause: 0.0s
[SIMINFO]: 503: 2: Position: {112, 245}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 3.0s
[SIMINFO]: 503: 3: Position: {388, 16}, Status: MOBILE, Mobility: 5.0s, 138.07 degrees, 5m/s Pause: 0.0s
[SIMINFO]: 504: 0: Position: {118, 489}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 6.0s
[SIMINFO]: 504: 1: Position: {262, 549}, Status: MOBILE, Mobility: 0.0s, 252.35 degrees, 1m/s Pause: 0.0s
[SIMINFO]: 504: 2: Position: {112, 245}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 2.0s
[SIMINFO]: 504: 3: Position: {393, 15}, Status: MOBILE, Mobility: 4.0s, 138.07 degrees, 5m/s Pause: 0.0s
[SIMINFO]: 505: 0: Position: {118, 489}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 5.0s
[SIMINFO]: 505: 1: Position: {262, 549}, Status: MOBILE, Mobility: 9.0s, 290.3 degrees, 1m/s Pause: 0.0s
[SIMINFO]: 505: 2: Position: {112, 245}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 1.0s
[SIMINFO]: 505: 3: Position: {398, 14}, Status: MOBILE, Mobility: 3.0s, 138.07 degrees, 5m/s Pause: 0.0s
[SIMINFO]: 506: 0: Position: {118, 489}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 4.0s
[SIMINFO]: 506: 1: Position: {262, 550}, Status: MOBILE, Mobility: 8.0s, 290.3 degrees, 1m/s Pause: 0.0s
[SIMINFO]: 506: 2: Position: {112, 245}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 0.0s
[SIMINFO]: 506: 3: Position: {403, 13}, Status: MOBILE, Mobility: 2.0s, 138.07 degrees, 5m/s Pause: 0.0s
[SIMINFO]: 507: 0: Position: {118, 489}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 3.0s
[SIMINFO]: 507: 1: Position: {262, 551}, Status: MOBILE, Mobility: 7.0s, 290.3 degrees, 1m/s Pause: 0.0s
[SIMINFO]: 507: 2: Position: {112, 245}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 9.0s
[SIMINFO]: 507: 3: Position: {408, 12}, Status: MOBILE, Mobility: 1.0s, 138.07 degrees, 5m/s Pause: 0.0s
[SIMINFO]: 508: 0: Position: {118, 489}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 2.0s
[SIMINFO]: 508: 1: Position: {262, 552}, Status: MOBILE, Mobility: 6.0s, 290.3 degrees, 1m/s Pause: 0.0s
[SIMINFO]: 508: 2: Position: {112, 245}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 8.0s
[SIMINFO]: 508: 3: Position: {413, 11}, Status: MOBILE, Mobility: 0.0s, 138.07 degrees, 5m/s Pause: 0.0s
[SIMINFO]: 509: 0: Position: {118, 489}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 1.0s
[SIMINFO]: 509: 1: Position: {262, 553}, Status: MOBILE, Mobility: 5.0s, 290.3 degrees, 1m/s Pause: 0.0s
[SIMINFO]: 509: 2: Position: {112, 245}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 7.0s
[SIMINFO]: 509: 3: Position: {413, 11}, Status: MOBILE, Mobility: 8.0s, 203.44 degrees, 4m/s Pause: 0.0s
[SIMINFO]: 510: 0: Position: {118, 489}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 0.0s
[SIMINFO]: 510: 1: Position: {262, 554}, Status: MOBILE, Mobility: 4.0s, 290.3 degrees, 1m/s Pause: 0.0s
[SIMINFO]: 510: 2: Position: {112, 245}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 6.0s
[SIMINFO]: 510: 3: Position: {410, 14}, Status: MOBILE, Mobility: 7.0s, 203.44 degrees, 4m/s Pause: 0.0s
[SIMINFO]: 511: 0: Position: {118, 489}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 4.0s
[SIMINFO]: 511: 1: Position: {262, 555}, Status: MOBILE, Mobility: 3.0s, 290.3 degrees, 1m/s Pause: 0.0s
[SIMINFO]: 511: 2: Position: {112, 245}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 5.0s
[SIMINFO]: 511: 3: Position: {407, 17}, Status: MOBILE, Mobility: 6.0s, 203.44 degrees, 4m/s Pause: 0.0s
[SIMINFO]: 512: 0: Position: {118, 489}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 3.0s
[SIMINFO]: 512: 1: Position: {262, 556}, Status: MOBILE, Mobility: 2.0s, 290.3 degrees, 1m/s Pause: 0.0s
[SIMINFO]: 512: 2: Position: {112, 245}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 4.0s
[SIMINFO]: 512: 3: Position: {404, 20}, Status: MOBILE, Mobility: 5.0s, 203.44 degrees, 4m/s Pause: 0.0s
[SIMINFO]: 513: 0: Position: {118, 489}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 2.0s
[SIMINFO]: 513: 1: Position: {262, 557}, Status: MOBILE, Mobility: 1.0s, 290.3 degrees, 1m/s Pause: 0.0s
[SIMINFO]: 513: 2: Position: {112, 245}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 3.0s
[SIMINFO]: 513: 3: Position: {401, 23}, Status: MOBILE, Mobility: 4.0s, 203.44 degrees, 4m/s Pause: 0.0s
[SIMINFO]: 514: 0: Position: {118, 489}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 1.0s
[SIMINFO]: 514: 1: Position: {262, 558}, Status: MOBILE, Mobility: 0.0s, 290.3 degrees, 1m/s Pause: 0.0s
[SIMINFO]: 514: 2: Position: {112, 245}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 2.0s
[SIMINFO]: 514: 3: Position: {398, 26}, Status: MOBILE, Mobility: 3.0s, 203.44 degrees, 4m/s Pause: 0.0s
[SIMINFO]: 515: 0: Position: {118, 489}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 0.0s
[SIMINFO]: 515: 1: Position: {262, 558}, Status: MOBILE, Mobility: 9.0s, 126.07 degrees, 4m/s Pause: 0.0s
[SIMINFO]: 515: 2: Position: {112, 245}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 1.0s
[SIMINFO]: 515: 3: Position: {395, 29}, Status: MOBILE, Mobility: 2.0s, 203.44 degrees, 4m/s Pause: 0.0s
[SIMINFO]: 516: 0: Position: {118, 489}, Status: MOBILE, Mobility: 3.0s, 334.67 degrees, 2m/s Pause: 0.0s
[SIMINFO]: 516: 1: Position: {266, 560}, Status: MOBILE, Mobility: 8.0s, 126.07 degrees, 4m/s Pause: 0.0s
[SIMINFO]: 516: 2: Position: {112, 245}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 0.0s
[SIMINFO]: 516: 3: Position: {392, 32}, Status: MOBILE, Mobility: 1.0s, 203.44 degrees, 4m/s Pause: 0.0s
[SIMINFO]: 517: 0: Position: {118, 491}, Status: MOBILE, Mobility: 2.0s, 334.67 degrees, 2m/s Pause: 0.0s
[SIMINFO]: 517: 1: Position: {270, 562}, Status: MOBILE, Mobility: 7.0s, 126.07 degrees, 4m/s Pause: 0.0s
[SIMINFO]: 517: 2: Position: {112, 245}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 6.0s
[SIMINFO]: 517: 3: Position: {389, 35}, Status: MOBILE, Mobility: 0.0s, 203.44 degrees, 4m/s Pause: 0.0s
[SIMINFO]: 518: 0: Position: {118, 493}, Status: MOBILE, Mobility: 1.0s, 334.67 degrees, 2m/s Pause: 0.0s
[SIMINFO]: 518: 1: Position: {274, 564}, Status: MOBILE, Mobility: 6.0s, 126.07 degrees, 4m/s Pause: 0.0s
[SIMINFO]: 518: 2: Position: {112, 245}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 5.0s
[SIMINFO]: 518: 3: Position: {389, 35}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 6.0s
[SIMINFO]: 519: 0: Position: {118, 495}, Status: MOBILE, Mobility: 0.0s, 334.67 degrees, 2m/s Pause: 0.0s
[SIMINFO]: 519: 1: Position: {278, 566}, Status: MOBILE, Mobility: 5.0s, 126.07 degrees, 4m/s Pause: 0.0s
[SIMINFO]: 519: 2: Position: {112, 245}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 4.0s
[SIMINFO]: 519: 3: Position: {389, 35}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 5.0s
[SIMINFO]: 520: 0: Position: {118, 495}, Status: MOBILE, Mobility: 2.0s, 201.96 degrees, 5m/s Pause: 0.0s
[SIMINFO]: 520: 1: Position: {282, 568}, Status: MOBILE, Mobility: 4.0s, 126.07 degrees, 4m/s Pause: 0.0s
[SIMINFO]: 520: 2: Position: {112, 245}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 3.0s
[SIMINFO]: 520: 3: Position: {389, 35}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 4.0s
[SIMINFO]: 521: 0: Position: {121, 499}, Status: MOBILE, Mobility: 1.0s, 201.96 degrees, 5m/s Pause: 0.0s
[SIMINFO]: 521: 1: Position: {286, 570}, Status: MOBILE, Mobility: 3.0s, 126.07 degrees, 4m/s Pause: 0.0s
[SIMINFO]: 521: 2: Position: {112, 245}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 2.0s
[SIMINFO]: 521: 3: Position: {389, 35}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 3.0s
[SIMINFO]: 522: 0: Position: {124, 503}, Status: MOBILE, Mobility: 0.0s, 201.96 degrees, 5m/s Pause: 0.0s
[SIMINFO]: 522: 1: Position: {290, 572}, Status: MOBILE, Mobility: 2.0s, 126.07 degrees, 4m/s Pause: 0.0s
[SIMINFO]: 522: 2: Position: {112, 245}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 1.0s
[SIMINFO]: 522: 3: Position: {389, 35}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 2.0s
[SIMINFO]: 523: 0: Position: {124, 503}, Status: MOBILE, Mobility: 6.0s, 198.38 degrees, 3m/s Pause: 0.0s
[SIMINFO]: 523: 1: Position: {294, 574}, Status: MOBILE, Mobility: 1.0s, 126.07 degrees, 4m/s Pause: 0.0s
[SIMINFO]: 523: 2: Position: {112, 245}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 0.0s
[SIMINFO]: 523: 3: Position: {389, 35}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 1.0s
[SIMINFO]: 524: 0: Position: {121, 502}, Status: MOBILE, Mobility: 5.0s, 198.38 degrees, 3m/s Pause: 0.0s
[SIMINFO]: 524: 1: Position: {298, 576}, Status: MOBILE, Mobility: 0.0s, 126.07 degrees, 4m/s Pause: 0.0s
[SIMINFO]: 524: 2: Position: {112, 245}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 8.0s
[SIMINFO]: 524: 3: Position: {389, 35}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 0.0s
[SIMINFO]: 525: 0: Position: {118, 501}, Status: MOBILE, Mobility: 4.0s, 198.38 degrees, 3m/s Pause: 0.0s
[SIMINFO]: 525: 1: Position: {298, 576}, Status: MOBILE, Mobility: 1.0s, 10.03 degrees, 5m/s Pause: 0.0s
[SIMINFO]: 525: 2: Position: {112, 245}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 7.0s
